Vehicle_speed_sensor,Vibration,Engine_Load,Engine_Coolant_Temp,Engine_RPM,Mass_Air_Flow_Rate,Engine_Oil_Temp,Speed_GPS,Turbo_Boost_And_Vcm_Gauge,Trip_Distance,Litres_Per_100km_Inst,CO2_in_g_per_km_Inst,Trip_Time_journey,Condition_Score,Priority
35,0.8118279569892479,0.21343874637238552,0.5999999999999996,0.23158713692946065,0.11128960285586789,0.5,36.21602,0.09150325265806411,0.9936388023785092,2.351502,62.197178,0.9862159894522355,0.500944297980622,Moderate
142,0.2365591397849478,0.2015810343209551,0.5999999999999996,0.5775414937759337,0.2637215528781794,0.5,148.96802,0.2156863478488853,0.14492537599480604,1.244649,32.92094,0.1115905549562507,0.24536637868708977,Low
128,0.3118279569892479,0.4347826038752361,0.13333333333333375,0.47665975103734437,0.1893797411869701,0.07142857142857117,132.40822,0.045751671392804956,0.12907711934853316,2.1241,56.18241,0.10008390267289946,0.20401984913267568,Low
117,0.37096774193548754,1.0,0.666666666666667,0.6382261410788382,0.277822400713967,0.6428571428571423,124.23608,0.16993467645608035,0.07553085475148835,4.753048778587036,116.73404192841686,0.06820088697111348,0.4272683238076981,Low
98,0.4731182795698956,0.7351779153704965,0.666666666666667,0.29123443983402486,0.14074074074074072,0.5,100.620926,0.13725492405086906,0.9125522571631075,4.031921,106.64425,0.8506532422390027,0.671060760004603,Moderate
96,0.48387096774193594,0.43561471516764605,0.2666666666666666,0.26244813278008305,0.13431503792949576,0.2142857142857144,99.21811,0.08496738329181305,0.6664336511818474,4.753048778587036,116.73404192841686,0.590794678173319,0.3250884006135565,Low
55,0.7043010752688197,0.39525694743239326,0.5333333333333332,0.33973029045643155,0.15020080321285142,0.4285714285714288,56.95204,0.05228758582282889,0.9607432412950601,3.40812,90.14472,0.8939230492628552,0.6313076828238642,Moderate
58,0.6881720430107556,0.3873517959857213,0.5999999999999996,0.38459543568464727,0.14868362338241856,0.5714285714285712,59.724094,0.0196078784813905,0.013581132752117808,4.753048778587036,26.569048,0.01438331535418913,0.23190749570437963,Low
114,0.3870967741935516,0.1383399235380963,0.7333333333333334,0.38070539419087135,0.16403391343150378,0.7857142857142856,117.288086,0.07189546430421939,0.4347462143466829,4.753048778587036,19.719515,0.43066043389667985,0.24464586204125427,Low
157,0.15591397849462751,0.5415020224171616,0.5999999999999996,0.6550829875518672,0.3086122266845159,0.4285714285714288,159.84058,0.2287582217727061,0.15585090565244342,3.422803,90.53307,0.11686443725278672,0.34373360791304963,Low
34,0.8172043010752716,0.2845849783647611,0.5333333333333332,0.3379149377593361,0.16956715751896473,0.4285714285714288,37.26007,0.11764704556947855,0.9947253612427192,5.248885,138.8329,0.9886132086779336,0.5619673841128312,Moderate
124,0.3333333333333357,0.5889328504647798,0.666666666666667,0.4463174273858921,0.205979473449353,0.7142857142857144,126.32401,0.1045751716456578,0.4381555728680575,4.16179,110.079285,0.4329377921610932,0.43755747363249553,Low
84,0.5483870967741957,0.43561471516764605,0.0,0.3226141078838174,0.14796965640339135,0.0,85.82593,0.03921571189900811,0.06164222572705902,4.753048778587036,116.73404192841686,0.057413400455471664,0.1419301853151599,Low
18,0.9032258064516157,0.5019763155790602,0.5333333333333332,0.23884854771784236,0.10852298081213743,0.4285714285714288,18.21632,0.07843137873424333,0.9718914740047355,12.823436,339.17966,0.9182548244036917,0.697002301872511,Moderate
90,0.5161290322580676,0.15415020627333686,0.5333333333333332,0.4234958506224067,0.2183846497099509,0.4285714285714288,91.62045,0.1568628025322596,0.6516874789189893,1.291805,34.168205,0.5796476087738224,0.24210639903267941,Low
95,0.48924731182795966,0.5335968810495414,0.40000000000000036,0.26996887966804983,0.12494422132976349,0.14285714285714235,100.55545,0.05228758582282889,0.6815354886355756,2.632471,69.628815,0.6030204962243797,0.4062248135693701,Low
114,0.3870967741935516,0.49011859344857805,0.7999999999999998,0.3869294605809128,0.16653279785809905,0.6428571428571423,119.016,0.05882359038039862,0.18901580321557943,2.453731,64.90115,0.1376003835550761,0.32753220882218664,Low
114,0.3870967741935516,0.11462450951428718,0.666666666666667,0.3757780082987552,0.19205711735832218,0.5,118.69203,0.13725492405086906,0.6208388409591403,4.753048778587036,24.621798,0.5559151384394103,0.23331031839221486,Low
159,0.14516129032258007,0.43561471516764605,0.7333333333333334,0.6649377593360996,0.2917447568049978,0.6428571428571423,163.585,0.11764704556947855,0.8142422810161056,4.753048778587036,116.73404192841686,0.727316313076831,0.5071053170035226,Moderate
109,0.413978494623656,0.4782609116343028,0.5999999999999996,0.3698132780082988,0.16974564926372154,0.35714285714285676,112.28447,0.07189546430421939,0.7458653352860984,2.336115,61.79021,0.646410164209517,0.4411069831642301,Low
36,0.8064516129032313,0.2648221551828656,0.5999999999999996,0.24040456431535273,0.11673360107095049,0.5,34.66802,0.1045751716456578,0.9938284639409576,5.696581,150.67445,0.9865755723360903,0.5415409127556232,Moderate
104,0.44086021505376394,0.03557312607523954,0.666666666666667,0.3314315352697096,0.14502454261490405,0.5714285714285712,107.89229,0.045751671392804956,0.541059282858638,1.971273,52.14014,0.4974229893323745,0.1833611729072683,Low
88,0.526881720430108,0.43561471516764605,0.13333333333333375,0.3526970954356846,0.15912539045069166,0.14285714285714235,90.57625,0.045751671392804956,0.05544566685318131,4.753048778587036,116.73404192841686,0.052019657197650726,0.16765156694748468,Low
28,0.8494623655913998,0.13043479224952775,0.5333333333333332,0.20850622406639008,0.1182507809013833,0.4285714285714288,28.332823,0.07189546430421939,0.9682004950763914,4.753048778587036,116.73404192841686,0.903392065204363,0.41861529430766975,Low
113,0.39247311827957176,0.5533596941523852,0.5333333333333332,0.3905601659751038,0.1747434181169121,0.4285714285714288,116.138695,0.08496738329181305,0.7115034941233063,2.701334,71.45023,0.6236365815653842,0.46785267675690956,Moderate
55,0.7043010752688197,0.288537559127623,0.5333333333333332,0.33169087136929465,0.15912539045069166,0.4285714285714288,57.888718,0.05882359038039862,0.9605960616477986,2.190099,57.928078,0.8936833273402853,0.5527690686234931,Moderate
118,0.3655913978494638,0.5375494214961963,0.5999999999999996,0.416753112033195,0.18839803659080767,0.4285714285714288,116.640274,0.09803925721563386,0.7377937145305151,3.04016,80.41216,0.6411362819129809,0.48142332881648453,Moderate
21,0.8870967741935516,0.2094861857676271,0.5999999999999996,0.02359958506224069,0.03792949576082106,0.4285714285714288,21.16849,0.026143837975187337,0.9732221190536618,1.327531,35.113174,0.9243677334292222,0.45810328657604266,Moderate
128,0.3118279569892479,0.0750988127552375,0.5333333333333332,0.4696576763485477,0.2099062918340027,0.5,130.4708,0.1241830050632754,0.10940207813339808,4.753048778587036,16.819185,0.08857725038954811,0.1841420408294988,Low
105,0.43548387096774377,0.616600835172399,0.7333333333333334,0.3293568464730291,0.15145024542614902,0.5,103.2123,0.1045751716456578,0.9150497046938191,3.392278,89.72568,0.8524511566582764,0.6068345880130845,Moderate
113,0.39247311827957176,0.49011859344857805,0.5999999999999996,0.3830394190871369,0.170281124497992,0.35714285714285676,126.25301,0.07189546430421939,0.7298572738450788,2.648242,70.045944,0.6359822605777299,0.4463533408689494,Low
36,0.8064516129032313,0.3241106852028625,0.5999999999999996,0.2896784232365145,0.14618473895582326,0.4285714285714288,37.764153,0.05228758582282889,0.9762273591154387,4.892613,129.40953,0.9377921610931319,0.5884044381958323,Moderate
87,0.5322580645161317,0.4189723513771507,0.5333333333333332,0.3547717842323651,0.1506470325747434,0.4285714285714288,90.324,0.045751671392804956,0.5503283021741467,2.345994,62.051502,0.5044947860481841,0.3504287576916335,Low
22,0.8817204301075279,0.2252964483447642,0.5999999999999996,0.059387966804979264,0.04605087014725568,0.5,23.475975,0.032679797468984174,0.980282590609745,1.941443,51.351143,0.949658396260338,0.4778900574820028,Moderate
94,0.4946236559139834,1.0,0.5999999999999996,0.5995850622406639,0.35867916108879966,0.5714285714285712,97.563515,0.3921568486074438,0.6519402662188643,12.441415,329.0752,0.5800071916576771,0.7361817477364063,Critical
111,0.40322580645161565,0.43561471516764605,0.5333333333333332,0.35243775933609955,0.1779562695225346,0.5714285714285712,114.672485,0.09803925721563386,0.5093262590044454,4.753048778587036,116.73404192841686,0.4712932997722642,0.3483826609081482,Low
42,0.7741935483870996,0.2015810343209551,0.5999999999999996,0.17582987551867224,0.09040606871932172,0.5,44.604713,0.07189546430421939,0.9795826342347478,2.47242,65.39546,0.9481002037636341,0.4794771084045449,Moderate
96,0.48387096774193594,0.6403162391171565,0.20000000000000018,0.2782676348547718,0.13949129852744308,0.14285714285714235,100.87223,0.07843137873424333,0.6708501780003617,3.469819,91.776634,0.5942706460505813,0.4294538680875174,Low
100,0.4623655913978517,0.09090909549047807,0.40000000000000036,0.28449170124481327,0.13056671128960284,0.4285714285714288,106.16429,0.05228758582282889,0.36816704412255863,4.753048778587036,13.029081,0.3837947980342803,0.1497415173966982,Low
90,0.5161290322580676,0.43561471516764605,0.0,0.36929460580912865,0.16305220883534136,0.07142857142857117,94.83723,0.05228758582282889,0.060295372718523366,4.753048778587036,116.73404192841686,0.056334651803907454,0.1493932799698294,Low
122,0.3440860215053796,0.43561471516764605,0.5999999999999996,0.43049792531120334,0.20276662204373044,0.5,127.87218,0.07843137873424333,0.44533001197171074,4.753048778587036,116.73404192841686,0.4372527867673499,0.3596919230918487,Low
88,0.526881720430108,0.43561471516764605,0.13333333333333375,0.36255186721991706,0.16287371709058454,0.14285714285714235,88.02036,0.045751671392804956,0.05544566685318131,4.753048778587036,116.73404192841686,0.05213951815893564,0.16930969287107633,Low
76,0.5913978494623677,0.43561471516764605,0.20000000000000018,0.3869294605809128,0.17670682730923695,0.2142857142857144,76.82195,0.05882359038039862,0.05316961436373269,4.753048778587036,116.73404192841686,0.049982020855807274,0.18390434034999759,Low
