Maintenance_flag,record_id,Measurement_timestamp,Vehicle_speed_sensor,Vibration,Engine_Load,Engine_Coolant_Temp,Intake_Manifold_Pressure,Engine_RPM,Speed_OBD,Intake_Air_Temp,Mass_Air_Flow_Rate,Throttle_Pos_Manifold,Voltage_Control_Module,Ambient_air_temp,Accel_Pedal_Pos_D,Engine_Oil_Temp,Speed_GPS,GPS_Longitude,GPS_Latitude,GPS_Bearing,GPS_Altitude,Turbo_Boost_And_Vcm_Gauge,Trip_Distance,Litres_Per_100km_Inst,Accel_Ssor_Total,CO2_in_g_per_km_Inst,Trip_Time_journey,fleetid,truckid,Region,engine_health_score,battery_health_score,vibration_score,usage_severity,anomaly_flag,Condition_Score,Priority
0,8229,22FEB16:18:18:15,35,0.8118279569892479,0.21653544540269118,0.5999999999999996,116,0.23158713692946065,35,10,0.11128960285586789,0.9779410769301559,14.1,7,27.843138,0.5,36.21602,9.1416993589,48.932756752,75.2,164,2.755716,0.9936388023785092,2.351502,0.653445406556886,62.197178,0.9862159894522355,Fleet_00713F1,Truck_0711X1,1,0.3493741941107172,0.30564480142793393,0.8118279569892479,0.21816521222894622,1,0.44013666072404245,Low
0,932,22FEB16:16:16:38,142,0.2365591397849478,0.2047244172747848,0.5999999999999996,135,0.5775414937759337,142,16,0.2637215528781794,0.9779410769301559,14.1,8,34.509804,0.5,148.96802,9.8853836153,48.494790484,274.4,436,5.511435,0.14492537599480604,1.244649,0.6516021556747946,32.92094,0.1115905549562507,Fleet_01213F1,Truck_0081X1,1,0.4607553036835727,0.38186077643908967,0.2365591397849478,0.2658805950064308,0,0.31014183034371556,Low
0,836,22FEB16:16:15:02,128,0.3118279569892479,0.43700787006324,0.13333333333333375,109,0.47665975103734437,128,9,0.1893797411869701,0.9779410769301559,14.2,8,14.901961,0.07142857142857117,132.40822,9.6480596153,48.479574484,257.1,508,1.740453,0.12907711934853316,2.1241,0.6768520989883455,56.18241,0.10008390267289946,Fleet_01213F1,Truck_0081X1,1,0.34900031814463933,0.13040415630777064,0.3118279569892479,0.5636042909393368,0,0.3435814463541207,Low
0,570,22FEB16:16:10:36,117,0.37096774193548754,0.9999999999999999,0.666666666666667,128,0.6382261410788382,117,13,0.277822400713967,0.9779410769301559,14.16,7,43.92157,0.6428571428571423,124.23608,8.344291815,48.611216243,330.7,618,4.49617,0.07553085475148835,0.0,0.6652562687682348,0.0,0.06820088697111348,Fleet_01013F1,Truck_0171X1,1,0.768297602581835,0.4603397717855547,0.37096774193548754,1.1074761356619813,0,0.7163916419895119,Moderate
0,7098,22FEB16:17:59:24,98,0.4731182795698956,0.7362205224006464,0.666666666666667,123,0.29123443983402486,98,9,0.14074074074074072,0.9779410769301559,14.12,7,14.901961,0.5,100.620926,7.7465467631,48.377976339,3.0,154,3.770981,0.9125522571631075,4.031921,0.5988239339809952,106.64425,0.8506532422390027,Fleet_00413F1,Truck_0641X1,2,0.5647072096337794,0.32037037037037036,0.4731182795698956,0.789792674766235,0,0.5192914072467603,Moderate
0,4930,22FEB16:17:23:16,96,0.48387096774193594,0.0,0.2666666666666666,115,0.26244813278008305,96,9,0.13431503792949576,0.9779410769301559,14.22,8,14.901961,0.2142857142857144,99.21811,9.7227993589,48.713456752,274.8,216,2.61068,0.6664336511818474,0.0,0.5166716729237908,0.0,0.590794678173319,Fleet_00713F1,Truck_0421X1,1,0.17637159981558323,0.17430037610760507,0.48387096774193594,0.0,0,0.08818579990779161,Low
0,7459,22FEB16:18:05:25,55,0.7043010752688197,0.39763782650040397,0.5333333333333332,110,0.33973029045643155,55,10,0.15020080321285142,0.9779410769301559,14.24,8,14.901961,0.4285714285714288,56.95204,8.1119838588,48.240487043,116.2,156,1.88549,0.9607432412950601,3.40812,0.6494627128670291,90.14472,0.8939230492628552,Fleet_00213F1,Truck_0791X1,2,0.4235671500967229,0.28938611589214014,0.7043010752688197,0.42736100675393457,1,0.5399918770745418,Moderate
0,121,22FEB16:16:03:07,58,0.6881720430107556,0.38976379770909597,0.5999999999999996,105,0.38459543568464727,58,10,0.14868362338241856,0.9779410769301559,14.3,7,32.156864,0.5714285714285712,59.724094,8.8108796153,48.702156484,254.9,789,1.160302,0.013581132752117808,0.0,0.6217846651232334,26.569048,0.01438331535418913,Fleet_01213F1,Truck_0021X1,1,0.458119744464581,0.3600560974054949,0.6881720430107556,0.36802599041361594,0,0.3394676693563753,Low
0,3594,22FEB16:17:01:00,114,0.3870967741935516,0.1417322873380248,0.7333333333333334,113,0.38070539419087135,114,11,0.16403391343150378,0.9779410769301559,14.14,9,29.411766,0.7857142857142856,117.288086,8.8496290753,48.668645517,287.6,502,2.320604,0.4347462143466829,0.0,0.5801696995660035,19.719515,0.43066043389667985,Fleet_00913F1,Truck_0491X1,1,0.4185903382874098,0.47487409957289467,0.3870967741935516,0.14307693607554697,0,0.252218249966369,Low
0,976,22FEB16:16:17:22,157,0.15591397849462751,0.5433071332537679,0.5999999999999996,137,0.6550829875518672,157,11,0.3086122266845159,0.9632352657169142,14.14,7,14.901961,0.4285714285714288,159.84058,10.045049615,48.487620484,273.3,438,5.80151,0.15585090565244342,3.422803,0.5592488438892844,90.53307,0.11686443725278672,Fleet_01213F1,Truck_0081X1,1,0.5994633736018783,0.3685918276279724,0.15591397849462751,0.7245566808478628,0,0.5170986910552979,Moderate
